Job,Task Characteristic,Column,Value
Couriers and Messengers,Information Processing,Work Activities - Information Input,3
"Computer, Automated Teller, and Office Machine Repairers",Information Processing,Work Activities - Information Input,3
Tour Guides and Escorts,Information Processing,Work Activities - Interacting with Others,4
Orthoptists,Information Processing,Work Activities - Mental Processes,5
Paralegals and Legal Assistants,Information Processing,Work Activities - Mental Processes,5
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Information Processing,Work Activities - Information Input,3
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Information Processing,Work Activities - Mental Processes - cont.,3
Ophthalmic Medical Technologists,Information Processing,Work Activities - Mental Processes - cont.,4
Orderlies,Information Processing,Work Activities - Mental Processes,3
Shoe and Leather Workers and Repairers,Information Processing,Work Activities - Information Input,2
Driver/Sales Workers,Information Processing,Work Activities - Information Input,3
"Library Assistants, Clerical",Information Processing,Work Activities - Mental Processes - cont.,4
"Sociology Teachers, Postsecondary",Information Processing,Work Activities - Mental Processes,7
Lodging Managers,Information Processing,Work Activities - Mental Processes,4
"Poets, Lyricists and Creative Writers",Information Processing,Work Activities - Mental Processes,4
"Agents and Business Managers of Artists, Performers, and Athletes",Information Processing,Work Activities - Interacting with Others,4
Psychiatric Aides,Information Processing,Work Activities - Mental Processes - cont.,4
Fast Food and Counter Workers,Information Processing,Work Activities - Mental Processes - cont.,3
Music Therapists,Information Processing,Work Activities - Mental Processes,4
Tax Preparers,Information Processing,Work Activities - Mental Processes,5
Construction and Building Inspectors,Information Processing,Work Activities - Mental Processes,4
Social and Community Service Managers,Information Processing,Work Activities - Mental Processes,4
Ophthalmic Medical Technicians,Information Processing,Work Activities - Mental Processes - cont.,4
Personal Care Aides,Information Processing,Work Activities - Mental Processes - cont.,3
Coaches and Scouts,Information Processing,Work Activities - Mental Processes,4
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Information Processing,Work Activities - Information Input,2
Receptionists and Information Clerks,Information Processing,Work Activities - Mental Processes - cont.,5
"Ushers, Lobby Attendants, and Ticket Takers",Information Processing,Work Activities - Information Input,3
"Social Work Teachers, Postsecondary",Information Processing,Work Activities - Interacting with Others,6
"History Teachers, Postsecondary",Information Processing,Work Activities - Mental Processes,6
Family Medicine Physicians,Information Processing,Work Activities - Mental Processes,5
"Court, Municipal, and License Clerks",Information Processing,Work Activities - Mental Processes,4
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Information Processing,Work Activities - Mental Processes - cont.,3
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Information Processing,Work Activities - Interacting with Others,4
Marriage and Family Therapists,Information Processing,Work Activities - Mental Processes - cont.,4
Genetic Counselors,Information Processing,Work Activities - Interacting with Others,7
Healthcare Social Workers,Information Processing,Work Activities - Mental Processes,4
Library Technicians,Information Processing,Work Activities - Mental Processes - cont.,4
Massage Therapists,Information Processing,Work Activities - Interacting with Others,4
Billing and Posting Clerks,Information Processing,Work Activities - Mental Processes - cont.,5
"Special Education Teachers, Preschool",Information Processing,Work Activities - Mental Processes,4
Childcare Workers,Information Processing,Work Activities - Interacting with Others,3
Manicurists and Pedicurists,Information Processing,Work Activities - Interacting with Others,3
Gambling and Sports Book Writers and Runners,Information Processing,Work Activities - Mental Processes - cont.,4
Customer Service Representatives,Information Processing,Work Activities - Mental Processes - cont.,5
Postal Service Mail Carriers,Information Processing,Work Activities - Mental Processes - cont.,3
Maids and Housekeeping Cleaners,Information Processing,Work Activities - Mental Processes - cont.,3
Amusement and Recreation Attendants,Information Processing,Work Activities - Mental Processes - cont.,3
Medical Transcriptionists,Information Processing,Work Activities - Mental Processes - cont.,5
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Information Processing,Work Activities - Mental Processes,3
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Information Processing,Work Activities - Mental Processes - cont.,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",Information Processing,Work Activities - Mental Processes,5
Mental Health Counselors,Information Processing,Work Activities - Interacting with Others,5
"Switchboard Operators, Including Answering Service",Information Processing,Work Activities - Mental Processes - cont.,4
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Information Processing,Work Activities - Mental Processes,4
Insurance Claims and Policy Processing Clerks,Information Processing,Work Activities - Mental Processes - cont.,5
"Child, Family, and School Social Workers",Information Processing,Work Activities - Mental Processes,4
"Cooks, Fast Food",Information Processing,Work Activities - Mental Processes - cont.,4
"Eligibility Interviewers, Government Programs",Information Processing,Work Activities - Mental Processes,5
"Philosophy and Religion Teachers, Postsecondary",Information Processing,Work Activities - Interacting with Others,6
"Umpires, Referees, and Other Sports Officials",Information Processing,Work Activities - Interacting with Others,4
Bridge and Lock Tenders,Information Processing,Work Activities - Mental Processes - cont.,3
Motion Picture Projectionists,Information Processing,Work Activities - Mental Processes - cont.,3
Self-Enrichment Teachers,Information Processing,Work Activities - Interacting with Others,4
Tutors,Information Processing,Work Activities - Interacting with Others,5
Signal and Track Switch Repairers,Information Processing,Work Activities - Mental Processes,3
"English Language and Literature Teachers, Postsecondary",Information Processing,Work Activities - Interacting with Others,6
New Accounts Clerks,Information Processing,Work Activities - Mental Processes - cont.,4
Credit Counselors,Information Processing,Work Activities - Mental Processes,4
"Preschool Teachers, Except Special Education",Information Processing,Work Activities - Mental Processes - cont.,3
Actors,Information Processing,Work Activities - Information Input,2
Cleaners of Vehicles and Equipment,Information Processing,Work Activities - Information Input,2
Passenger Attendants,Information Processing,Work Activities - Mental Processes - cont.,3
Telemarketers,Information Processing,Work Activities - Mental Processes - cont.,3
Proofreaders and Copy Markers,Information Processing,Work Activities - Mental Processes,4
"Locker Room, Coatroom, and Dressing Room Attendants",Information Processing,Work Activities - Mental Processes - cont.,2
Exercise Trainers and Group Fitness Instructors,Information Processing,Work Activities - Mental Processes,3
"Foreign Language and Literature Teachers, Postsecondary",Information Processing,Work Activities - Mental Processes,5
"Arbitrators, Mediators, and Conciliators",Information Processing,Work Activities - Mental Processes,5
Nannies,Information Processing,Work Activities - Mental Processes,2
School Psychologists,Information Processing,Work Activities - Mental Processes,5
Dancers,Information Processing,Work Activities - Mental Processes - cont.,2
Gambling Dealers,Information Processing,Work Activities - Interacting with Others,3
Judicial Law Clerks,Information Processing,Work Activities - Mental Processes,6
Legal Secretaries and Administrative Assistants,Information Processing,Work Activities - Mental Processes,4
Models,Information Processing,Work Activities - Mental Processes - cont.,2
"Airline Pilots, Copilots, and Flight Engineers",Problem Solving,Work Activities - Information Input,7
Materials Scientists,Problem Solving,Work Activities - Mental Processes,7
Nuclear Technicians,Problem Solving,Work Activities - Information Input,6
Stationary Engineers and Boiler Operators,Problem Solving,Work Activities - Information Input,6
Medical Equipment Preparers,Problem Solving,Work Activities - Information Input,7
"Tank Car, Truck, and Ship Loaders",Problem Solving,Work Activities - Information Input,6
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Problem Solving,Work Activities - Information Input,6
Gambling Surveillance Officers and Gambling Investigators,Problem Solving,Work Activities - Information Input,6
Natural Sciences Managers,Problem Solving,Work Activities - Information Input,6
Operating Engineers and Other Construction Equipment Operators,Problem Solving,Work Activities - Information Input,6
Sailors and Marine Oilers,Problem Solving,Work Activities - Information Input,5
Aerospace Engineering and Operations Technologists and Technicians,Problem Solving,Work Activities - Information Input,5
Chemical Plant and System Operators,Problem Solving,Work Activities - Information Input,5
Spa Managers,Problem Solving,Work Activities - Information Input,5
Neurologists,Problem Solving,Work Activities - Information Input,7
Surgical Assistants,Problem Solving,Work Activities - Information Input,6
Nuclear Power Reactor Operators,Problem Solving,Work Activities - Information Input,6
Biofuels Processing Technicians,Problem Solving,Work Activities - Information Input,5
Nurse Anesthetists,Problem Solving,Work Activities - Information Input,7
"Pump Operators, Except Wellhead Pumpers",Problem Solving,Work Activities - Information Input,5
Clinical Nurse Specialists,Problem Solving,Work Activities - Information Input,7
Sports Medicine Physicians,Problem Solving,Work Activities - Information Input,7
Substance Abuse and Behavioral Disorder Counselors,Problem Solving,Work Activities - Information Input,6
Forest Fire Inspectors and Prevention Specialists,Problem Solving,Work Activities - Information Input,6
Hydroelectric Plant Technicians,Problem Solving,Work Activities - Information Input,5
Chemical Equipment Operators and Tenders,Problem Solving,Work Activities - Information Input,5
Food Science Technicians,Problem Solving,Work Activities - Information Input,5
Food Batchmakers,Problem Solving,Work Activities - Information Input,4
Anesthesiologists,Problem Solving,Work Activities - Information Input,6
Anesthesiologist Assistants,Problem Solving,Work Activities - Information Input,6
Bailiffs,Problem Solving,Work Activities - Information Input,6
Wind Energy Operations Managers,Problem Solving,Work Activities - Mental Processes,6
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Problem Solving,Work Activities - Information Input,5
Construction Laborers,Problem Solving,Work Activities - Information Input,4
Biochemists and Biophysicists,Problem Solving,Work Activities - Mental Processes,7
First-Line Supervisors of Firefighting and Prevention Workers,Problem Solving,Work Activities - Information Input,6
"Roof Bolters, Mining",Problem Solving,Work Activities - Information Input,6
Nuclear Monitoring Technicians,Problem Solving,Work Activities - Information Input,6
Power Distributors and Dispatchers,Problem Solving,Work Activities - Information Input,6
Quality Control Systems Managers,Problem Solving,Work Activities - Information Input,6
Biofuels Production Managers,Problem Solving,Work Activities - Information Input,5
Biomass Power Plant Managers,Problem Solving,Work Activities - Information Input,5
Motorcycle Mechanics,Problem Solving,Work Activities - Information Input,5
"Inspectors, Testers, Sorters, Samplers, and Weighers",Problem Solving,Work Activities - Information Input,5
Nurse Midwives,Problem Solving,Work Activities - Information Input,6
Nanosystems Engineers,Problem Solving,Work Activities - Information Input,6
Biologists,Problem Solving,Work Activities - Information Input,6
Aircraft Mechanics and Service Technicians,Problem Solving,Work Activities - Information Input,6
"Service Unit Operators, Oil and Gas",Problem Solving,Work Activities - Information Input,6
Security Guards,Problem Solving,Work Activities - Information Input,5
"First-Line Supervisors of Mechanics, Installers, and Repairers",Problem Solving,Work Activities - Information Input,5
Chemical Technicians,Problem Solving,Work Activities - Information Input,5
Floor Sanders and Finishers,Problem Solving,Work Activities - Information Input,5
Hospitalists,Problem Solving,Work Activities - Information Input,7
Psychiatric Technicians,Problem Solving,Work Activities - Information Input,7
Critical Care Nurses,Problem Solving,Work Activities - Information Input,6
Obstetricians and Gynecologists,Problem Solving,Work Activities - Information Input,6
Water and Wastewater Treatment Plant and System Operators,Problem Solving,Work Activities - Information Input,6
Occupational Health and Safety Specialists,Problem Solving,Work Activities - Information Input,6
Range Managers,Problem Solving,Work Activities - Mental Processes - cont.,6
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Problem Solving,Work Activities - Information Input,5
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,5
Veterinary Technologists and Technicians,Problem Solving,Work Activities - Information Input,6
Air Traffic Controllers,Problem Solving,Work Activities - Information Input,6
Materials Engineers,Problem Solving,Work Activities - Information Input,6
Firefighters,Problem Solving,Work Activities - Information Input,6
"Radio, Cellular, and Tower Equipment Installers and Repairers",Problem Solving,Work Activities - Information Input,6
Gas Compressor and Gas Pumping Station Operators,Problem Solving,Work Activities - Information Input,5
Medical and Clinical Laboratory Technicians,Problem Solving,Work Activities - Information Input,5
Biomass Plant Technicians,Problem Solving,Work Activities - Information Input,5
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Problem Solving,Work Activities - Information Input,5
Dietetic Technicians,Problem Solving,Work Activities - Information Input,5
Neurodiagnostic Technologists,Problem Solving,Work Activities - Information Input,6
Validation Engineers,Problem Solving,Work Activities - Information Input,6
Chemical Engineers,Problem Solving,Work Activities - Information Input,6
Geothermal Production Managers,Problem Solving,Work Activities - Information Input,6
Occupational Health and Safety Technicians,Problem Solving,Work Activities - Information Input,6
Veterinary Assistants and Laboratory Animal Caretakers,Problem Solving,Work Activities - Information Input,6
Airfield Operations Specialists,Problem Solving,Work Activities - Information Input,6
First-Line Supervisors of Correctional Officers,Problem Solving,Work Context - Interpersonal Relationships,7
Nanotechnology Engineering Technologists and Technicians,Problem Solving,Work Activities - Information Input,6
First-Line Supervisors of Police and Detectives,Problem Solving,Work Context - Interpersonal Relationships,7
Power Plant Operators,Problem Solving,Work Activities - Information Input,5
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Problem Solving,Work Activities - Information Input,5
Industrial Production Managers,Problem Solving,Work Activities - Information Input,5
Helpers--Extraction Workers,Problem Solving,Work Activities - Information Input,5
Cooling and Freezing Equipment Operators and Tenders,Problem Solving,Work Activities - Information Input,5
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Problem Solving,Work Activities - Information Input,5
Team Assemblers,Problem Solving,Work Activities - Information Input,5
"Education Administrators, Kindergarten through Secondary",Problem Solving,Work Activities - Interacting with Others,6
Print Binding and Finishing Workers,Problem Solving,Work Activities - Information Input,5
"Packers and Packagers, Hand",Problem Solving,Work Activities - Information Input,5
First-Line Supervisors of Production and Operating Workers,Problem Solving,Work Activities - Information Input,5
"Paper Goods Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,4
"Forestry and Conservation Science Teachers, Postsecondary",Problem Solving,Work Activities - Information Input,6
Registered Nurses,Problem Solving,Work Activities - Information Input,6
Radiation Therapists,Problem Solving,Work Activities - Information Input,6
Police and Sheriff's Patrol Officers,Problem Solving,Work Activities - Information Input,6
"Explosives Workers, Ordnance Handling Experts, and Blasters",Problem Solving,Work Activities - Information Input,6
Environmental Restoration Planners,Problem Solving,Work Activities - Information Input,6
Food Scientists and Technologists,Problem Solving,Work Activities - Information Input,6
Locomotive Engineers,Problem Solving,Work Activities - Information Input,5
Robotics Technicians,Problem Solving,Work Activities - Information Input,5
Agricultural Technicians,Problem Solving,Work Activities - Information Input,5
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Problem Solving,Work Activities - Information Input,5
Fabric and Apparel Patternmakers,Problem Solving,Work Activities - Information Input,5
"Pourers and Casters, Metal",Problem Solving,Work Activities - Information Input,5
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Problem Solving,Work Activities - Information Input,5
Conveyor Operators and Tenders,Problem Solving,Work Activities - Information Input,5
"Electric Motor, Power Tool, and Related Repairers",Problem Solving,Work Activities - Information Input,5
Food Cooking Machine Operators and Tenders,Problem Solving,Work Activities - Information Input,5
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Problem Solving,Work Activities - Information Input,4
Quality Control Analysts,Problem Solving,Work Activities - Information Input,4
School Psychologists,Problem Solving,Work Activities - Information Input,4
"Nursing Instructors and Teachers, Postsecondary",Problem Solving,Work Activities - Information Input,6
Aviation Inspectors,Problem Solving,Work Activities - Information Input,6
Fish and Game Wardens,Problem Solving,Work Activities - Information Input,6
Optometrists,Problem Solving,Work Activities - Information Input,6
Clinical Research Coordinators,Problem Solving,Work Activities - Information Input,6
Information Technology Project Managers,Problem Solving,Work Activities - Information Input,6
Watch and Clock Repairers,Problem Solving,Work Activities - Information Input,5
"Dentists, General",Problem Solving,Work Activities - Information Input,5
Chemists,Problem Solving,Work Activities - Information Input,5
"Control and Valve Installers and Repairers, Except Mechanical Door",Problem Solving,Work Activities - Information Input,5
Metal-Refining Furnace Operators and Tenders,Problem Solving,Work Activities - Information Input,5
Industrial Machinery Mechanics,Problem Solving,Work Activities - Information Input,5
Media Technical Directors/Managers,Problem Solving,Work Activities - Information Input,5
Pile Driver Operators,Problem Solving,Work Activities - Information Input,5
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Problem Solving,Work Activities - Information Input,5
Government Property Inspectors and Investigators,Problem Solving,Work Context - Interpersonal Relationships,6
Recreation Workers,Problem Solving,Work Activities - Information Input,5
Wellhead Pumpers,Problem Solving,Work Activities - Information Input,5
Solar Photovoltaic Installers,Problem Solving,Work Activities - Information Input,5
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,5
"Textile Cutting Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,3
"Ophthalmologists, Except Pediatric",Problem Solving,Work Activities - Information Input,6
General Internal Medicine Physicians,Problem Solving,Work Activities - Information Input,6
Physical Medicine and Rehabilitation Physicians,Problem Solving,Work Activities - Information Input,6
Management Analysts,Problem Solving,Work Activities - Interacting with Others,7
Biofuels/Biodiesel Technology and Product Development Managers,Problem Solving,Work Activities - Information Input,6
Retail Loss Prevention Specialists,Problem Solving,Work Activities - Information Input,6
"Captains, Mates, and Pilots of Water Vessels",Problem Solving,Work Activities - Information Input,6
Surgical Technologists,Problem Solving,Work Activities - Information Input,6
Hydroelectric Production Managers,Problem Solving,Work Activities - Interacting with Others cont.,6
Boilermakers,Problem Solving,Work Activities - Information Input,5
Environmental Engineers,Problem Solving,Work Activities - Information Input,5
Hoist and Winch Operators,Problem Solving,Work Activities - Information Input,5
Manufacturing Engineers,Problem Solving,Work Activities - Information Input,5
Photonics Technicians,Problem Solving,Work Activities - Information Input,5
Electromechanical Equipment Assemblers,Problem Solving,Work Activities - Information Input,5
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,5
"Environmental Scientists and Specialists, Including Health",Problem Solving,Work Activities - Information Input,5
General and Operations Managers,Problem Solving,Work Activities - Information Input,5
"Production, Planning, and Expediting Clerks",Problem Solving,Work Activities - Information Input,5
Roofers,Problem Solving,Work Activities - Information Input,5
"Human Resources Assistants, Except Payroll and Timekeeping",Problem Solving,Work Activities - Information Input,5
Acute Care Nurses,Problem Solving,Work Activities - Information Input,6
Radiologists,Problem Solving,Work Activities - Information Input,6
Respiratory Therapists,Problem Solving,Work Activities - Information Input,6
Allergists and Immunologists,Problem Solving,Work Activities - Information Input,6
Physician Assistants,Problem Solving,Work Activities - Information Input,6
Customs and Border Protection Officers,Problem Solving,Work Activities - Information Input,6
Transportation Inspectors,Problem Solving,Work Activities - Information Input,6
Aerospace Engineers,Problem Solving,Work Activities - Mental Processes,7
Commercial Pilots,Problem Solving,Work Activities - Information Input,5
Dental Assistants,Problem Solving,Work Activities - Information Input,5
Sound Engineering Technicians,Problem Solving,Work Activities - Mental Processes,6
Brickmasons and Blockmasons,Problem Solving,Work Activities - Information Input,5
Zoologists and Wildlife Biologists,Problem Solving,Work Activities - Information Input,5
Non-Destructive Testing Specialists,Problem Solving,Work Activities - Information Input,5
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Problem Solving,Work Activities - Information Input,5
Residential Advisors,Problem Solving,Work Context - Interpersonal Relationships,6
Financial Managers,Problem Solving,Work Activities - Information Input,5
Flight Attendants,Problem Solving,Work Context - Interpersonal Relationships,6
Tire Builders,Problem Solving,Work Activities - Information Input,5
Reservation and Transportation Ticket Agents and Travel Clerks,Problem Solving,Work Activities - Information Input,5
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,5
Adhesive Bonding Machine Operators and Tenders,Problem Solving,Work Activities - Information Input,4
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Problem Solving,Work Activities - Interacting with Others cont.,5
Bakers,Problem Solving,Work Activities - Information Input,3
Midwives,Problem Solving,Work Activities - Information Input,6
Licensed Practical and Licensed Vocational Nurses,Problem Solving,Work Activities - Information Input,6
Construction Managers,Problem Solving,Work Activities - Information Input,6
Robotics Engineers,Problem Solving,Work Activities - Information Input,6
Hydrologists,Problem Solving,Work Activities - Information Input,6
"Rail Yard Engineers, Dinkey Operators, and Hostlers",Problem Solving,Work Activities - Information Input,6
Art Therapists,Problem Solving,Work Activities - Mental Processes,6
Microbiologists,Problem Solving,Work Activities - Information Input,5
"Child, Family, and School Social Workers",Problem Solving,Work Context - Interpersonal Relationships,7
Endoscopy Technicians,Problem Solving,Work Activities - Information Input,5
Occupational Therapists,Problem Solving,Work Activities - Mental Processes,6
Physical Therapists,Problem Solving,Work Activities - Information Input,5
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Problem Solving,Work Activities - Information Input,5
"Mining and Geological Engineers, Including Mining Safety Engineers",Problem Solving,Work Activities - Information Input,5
Community Health Workers,Problem Solving,Work Activities - Information Input,5
"Farmworkers, Farm, Ranch, and Aquacultural Animals",Problem Solving,Work Activities - Information Input,5
Semiconductor Processing Technicians,Problem Solving,Work Activities - Information Input,5
"Maintenance and Repair Workers, General",Problem Solving,Work Activities - Information Input,5
"Maintenance Workers, Machinery",Problem Solving,Work Activities - Information Input,5
Order Clerks,Problem Solving,Work Activities - Information Input,5
Chefs and Head Cooks,Problem Solving,Work Context - Interpersonal Relationships,6
Rail-Track Laying and Maintenance Equipment Operators,Problem Solving,Work Activities - Information Input,5
Highway Maintenance Workers,Problem Solving,Work Context - Interpersonal Relationships,5
"Physicians, Pathologists",Problem Solving,Work Activities - Information Input,6
"Biological Science Teachers, Postsecondary",Problem Solving,Work Activities - Information Input,6
"Agricultural Sciences Teachers, Postsecondary",Problem Solving,Work Activities - Information Input,6
"Environmental Science and Protection Technicians, Including Health",Problem Solving,Work Activities - Information Input,5
Patient Representatives,Problem Solving,Work Activities - Information Input,5
Agricultural Engineers,Problem Solving,Work Activities - Mental Processes,6
Bioinformatics Technicians,Problem Solving,Work Activities - Mental Processes,6
Pharmacists,Problem Solving,Work Activities - Information Input,5
Printing Press Operators,Problem Solving,Work Activities - Information Input,5
Emergency Management Directors,Problem Solving,Work Activities - Mental Processes - cont.,6
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Problem Solving,Work Activities - Information Input,5
Radio Frequency Identification Device Specialists,Problem Solving,Work Activities - Mental Processes,6
Solar Energy Installation Managers,Problem Solving,Work Activities - Information Input,5
Conservation Scientists,Problem Solving,Work Activities - Information Input,5
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Problem Solving,Work Activities - Information Input,5
Tree Trimmers and Pruners,Problem Solving,Work Activities - Information Input,5
"Education Teachers, Postsecondary",Problem Solving,Work Activities - Information Input,5
Gambling Managers,Problem Solving,Work Context - Interpersonal Relationships,6
Packaging and Filling Machine Operators and Tenders,Problem Solving,Work Activities - Information Input,5
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,5
"Mixing and Blending Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,4
Family Medicine Physicians,Problem Solving,Work Activities - Information Input,6
Advanced Practice Psychiatric Nurses,Problem Solving,Work Activities - Information Input,6
Police Identification and Records Officers,Problem Solving,Work Activities - Information Input,6
Bioengineers and Biomedical Engineers,Problem Solving,Work Activities - Mental Processes,7
Medical Equipment Repairers,Problem Solving,Work Activities - Information Input,6
Naturopathic Physicians,Problem Solving,Work Activities - Information Input,6
Animal Scientists,Problem Solving,Work Activities - Information Input,6
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Problem Solving,Work Activities - Information Input,6
"Environmental Science Teachers, Postsecondary",Problem Solving,Work Activities - Mental Processes,6
Aircraft Cargo Handling Supervisors,Problem Solving,Work Context - Interpersonal Relationships,6
Information Security Analysts,Problem Solving,Work Activities - Information Input,5
Ship Engineers,Problem Solving,Work Activities - Information Input,5
Electricians,Problem Solving,Work Activities - Information Input,5
"Model Makers, Wood",Problem Solving,Work Activities - Mental Processes,6
Pharmacy Technicians,Problem Solving,Work Activities - Information Input,5
Cement Masons and Concrete Finishers,Problem Solving,Work Activities - Information Input,5
"Cutting and Slicing Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,5
"Secondary School Teachers, Except Special and Career/Technical Education",Problem Solving,Work Activities - Information Input,5
Telecommunications Line Installers and Repairers,Problem Solving,Work Activities - Information Input,5
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,5
Nurse Practitioners,Problem Solving,Work Activities - Information Input,6
Fashion Designers,Problem Solving,Work Activities - Mental Processes,7
Oral and Maxillofacial Surgeons,Problem Solving,Work Activities - Information Input,6
Pharmacy Aides,Problem Solving,Work Activities - Information Input,6
Nuclear Engineers,Problem Solving,Work Activities - Information Input,5
Podiatrists,Problem Solving,Work Activities - Information Input,5
Fire Inspectors and Investigators,Problem Solving,Work Activities - Information Input,5
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,5
Wind Turbine Service Technicians,Problem Solving,Work Activities - Information Input,5
Commercial Divers,Problem Solving,Work Activities - Information Input,5
"Rotary Drill Operators, Oil and Gas",Problem Solving,Work Activities - Information Input,5
Computer Numerically Controlled Tool Programmers,Problem Solving,Work Activities - Information Input,5
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Problem Solving,Work Activities - Information Input,5
"Stone Cutters and Carvers, Manufacturing",Problem Solving,Work Activities - Information Input,5
Compliance Officers,Problem Solving,Work Activities - Information Input,5
First-Line Supervisors of Construction Trades and Extraction Workers,Problem Solving,Work Activities - Information Input,5
Millwrights,Problem Solving,Work Activities - Information Input,5
Sustainability Specialists,Problem Solving,Work Activities - Mental Processes - cont.,6
"Mobile Heavy Equipment Mechanics, Except Engines",Problem Solving,Work Activities - Information Input,5
Industrial Engineers,Problem Solving,Work Activities - Mental Processes,6
Mechanical Engineers,Problem Solving,Work Activities - Information Input,5
Pipelayers,Problem Solving,Work Activities - Information Input,5
"Career/Technical Education Teachers, Middle School",Problem Solving,Work Activities - Information Input,5
Computer Numerically Controlled Tool Operators,Problem Solving,Work Activities - Information Input,5
Forensic Science Technicians,Problem Solving,Work Activities - Information Input,5
Museum Technicians and Conservators,Problem Solving,Work Activities - Information Input,5
Geothermal Technicians,Problem Solving,Work Activities - Information Input,5
Machinists,Problem Solving,Work Activities - Information Input,5
"Camera Operators, Television, Video, and Film",Problem Solving,Work Activities - Mental Processes,6
Refuse and Recyclable Material Collectors,Problem Solving,Work Activities - Information Input,4
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,4
Medical Assistants,Problem Solving,Work Activities - Information Input,6
Urologists,Problem Solving,Work Activities - Information Input,6
Psychiatric Aides,Problem Solving,Work Activities - Information Input,6
Radiologic Technologists and Technicians,Problem Solving,Work Activities - Information Input,5
Geodetic Surveyors,Problem Solving,Work Activities - Information Input,5
Phlebotomists,Problem Solving,Work Activities - Information Input,5
"Special Education Teachers, Secondary School",Problem Solving,Work Context - Interpersonal Relationships,6
Probation Officers and Correctional Treatment Specialists,Problem Solving,Work Context - Interpersonal Relationships,7
"Earth Drillers, Except Oil and Gas",Problem Solving,Work Activities - Information Input,5
Electrical Power-Line Installers and Repairers,Problem Solving,Work Activities - Information Input,5
"Title Examiners, Abstractors, and Searchers",Problem Solving,Work Activities - Information Input,5
Prosthodontists,Problem Solving,Work Activities - Interacting with Others,6
Compliance Managers,Problem Solving,Work Activities - Information Input,5
Subway and Streetcar Operators,Problem Solving,Work Activities - Information Input,5
Textile Bleaching and Dyeing Machine Operators and Tenders,Problem Solving,Work Activities - Information Input,5
Helpers--Electricians,Problem Solving,Work Activities - Information Input,5
Funeral Attendants,Problem Solving,Work Activities - Information Input,5
Mechanical Engineering Technologists and Technicians,Problem Solving,Work Activities - Information Input,5
"Middle School Teachers, Except Special and Career/Technical Education",Problem Solving,Work Context - Interpersonal Relationships,6
Motorboat Operators,Problem Solving,Work Activities - Information Input,5
"Transportation, Storage, and Distribution Managers",Problem Solving,Work Activities - Interacting with Others cont.,6
"Bus Drivers, Transit and Intercity",Problem Solving,Work Activities - Information Input,4
Postmasters and Mail Superintendents,Problem Solving,Work Activities - Interacting with Others cont.,6
Terrazzo Workers and Finishers,Problem Solving,Work Activities - Information Input,4
